dep,week,pop,P,cl_age90
3,2020-S31,33349,3,39
3,2020-S31,39464,0,49
3,2020-S31,45840,1,59
3,2020-S31,48958,1,69
3,2020-S31,38220,0,79
3,2020-S31,23577,0,89
3,2020-S31,7107,0,90
3,2020-S31,331315,9,0
3,2020-S32,30871,1,9
3,2020-S32,35788,2,19
3,2020-S32,28141,1,29
3,2020-S32,33349,1,39
3,2020-S32,39464,0,49
3,2020-S32,45840,0,59
3,2020-S32,48958,1,69
3,2020-S32,38220,1,79
3,2020-S32,23577,1,89
3,2020-S32,7107,0,90
3,2020-S32,331315,8,0
3,2020-S33,30871,0,9
3,2020-S33,35788,1,19
3,2020-S33,28141,2,29
3,2020-S33,33349,3,39
3,2020-S33,39464,1,49
3,2020-S33,45840,0,59
3,2020-S33,48958,1,69
3,2020-S33,38220,3,79
3,2020-S33,23577,0,89
3,2020-S33,7107,1,90
3,2020-S33,331315,12,0
3,2020-S34,30871,0,9
3,2020-S34,35788,8,19
3,2020-S34,28141,7,29
3,2020-S34,33349,4,39
3,2020-S34,39464,3,49
3,2020-S34,45840,4,59
3,2020-S34,48958,3,69
3,2020-S34,38220,4,79
3,2020-S34,23577,0,89
3,2020-S34,7107,0,90
3,2020-S34,331315,33,0
3,2020-S35,30871,0,9
3,2020-S35,35788,8,19
3,2020-S35,28141,15,29
3,2020-S35,33349,5,39
3,2020-S35,39464,8,49
3,2020-S35,45840,7,59
3,2020-S35,48958,9,69
3,2020-S35,38220,4,79
3,2020-S35,23577,0,89
3,2020-S35,7107,1,90
3,2020-S35,331315,57,0
3,2020-S36,30871,2,9
3,2020-S36,35788,14,19
3,2020-S36,28141,25,29
3,2020-S36,33349,6,39
3,2020-S36,39464,6,49
3,2020-S36,45840,11,59
3,2020-S36,48958,3,69
3,2020-S36,38220,6,79
3,2020-S36,23577,1,89
3,2020-S36,7107,1,90
3,2020-S36,331315,75,0
3,2020-S37,30871,3,9
3,2020-S37,35788,7,19
3,2020-S37,28141,35,29
3,2020-S37,33349,12,39
3,2020-S37,39464,17,49
3,2020-S37,45840,14,59
3,2020-S37,48958,7,69
3,2020-S37,38220,1,79
3,2020-S37,23577,4,89
3,2020-S37,7107,1,90
3,2020-S37,331315,101,0
3,2020-S38,30871,4,9
3,2020-S38,35788,23,19
3,2020-S38,28141,41,29
3,2020-S38,33349,11,39
3,2020-S38,39464,16,49
3,2020-S38,45840,16,59
3,2020-S38,48958,5,69
3,2020-S38,38220,2,79
